Date,Open,High,Low,Close,Adj Close,Volume
2014-01-14,5196.7,5203.35,5169.25,5184,5184,29809173
2014-01-15,5204,5247.4,5204,5239.95,5239.95,21478181
2014-01-16,5252.8,5256.1,5189.45,5200.4,5200.4,28200807
2014-01-17,5188.55,5245.9,5186.35,5197.85,5197.85,19384820
2014-01-20,5196.05,5257.45,5195.8,5239.45,5239.45,15630797
2014-01-21,5243.8,5324.85,5238.7,5288.7,5288.7,21381695
2014-01-22,5268.45,5315.25,5264.95,5310.9,5310.9,48111722
2014-01-23,5302.2,5306.5,5248.1,5256.05,5256.05,28508181
2014-01-24,5222.2,5236.65,5162.9,5168.25,5168.25,23907404
2014-01-27,5093.15,5093.15,4981.5,4998.7,4998.7,32492757
2014-01-28,4986.35,5068.4,4986.35,5010.2,5010.2,38648517
2014-01-29,5050.35,5097.55,5003.05,5010.9,5010.9,22636017
2014-01-30,4994.5,5046.25,4963.6,5021.25,5021.25,32284506
2014-01-31,5014.05,5040.25,4982.9,5009.85,5009.85,34426590
2014-02-03,4983.6,5015.3,4901.8,4912.4,4912.4,22052579
2014-02-04,4864.75,4951.7,4858.1,4938.6,4938.6,38085008
2014-02-05,4938.4,5036.15,4918.25,5021.85,5021.85,30628215
2014-02-06,5018.85,5067.85,4977.8,5061.95,5061.95,28588882
2014-02-07,5090.85,5103.95,5062.9,5092.05,5092.05,18934336
2014-02-10,5113.4,5136.2,5100.15,5115.4,5115.4,36798823
2014-02-11,5197.15,5198.15,5143.3,5166.2,5166.2,32958276
2014-02-12,5184.55,5215.95,5156.8,5173.65,5173.65,23082380
2014-02-13,5197.1,5216.2,5159,5171.7,5171.7,27009764
2014-02-14,5193,5211.9,5129.35,5198.9,5198.9,24426027
2014-02-17,5222.8,5257.65,5168.65,5236.2,5236.2,29278834
2014-02-18,5257.4,5304,5228.65,5275.4,5275.4,26829085
2014-02-19,5290.9,5291.35,5259.2,5275.35,5275.35,19501053
2014-02-20,5263.5,5293.6,5251.1,5259.65,5259.65,29396868
2014-02-21,5276.45,5311.05,5265.4,5285.75,5285.75,20491713
2014-02-24,5288.75,5333.5,5285.3,5314,5314,15110925
2014-02-25,5330.7,5351.65,5294.9,5346,5346,17759646
2014-02-26,5335.7,5405.55,5330.8,5396.35,5396.35,36403410
2014-02-28,5428.15,5477.05,5390.9,5467.25,5467.25,29556305
2014-03-03,5450.85,5459,5395.35,5404.5,5404.5,21998000
2014-03-04,5399.35,5473.4,5366.1,5437.85,5437.85,23400264
2014-03-05,5461.05,5464.1,5409,5434.65,5434.65,20696544
2014-03-06,5450.45,5496.25,5438.8,5478.95,5478.95,27668441
2014-03-07,5491.85,5561.95,5480.05,5530.3,5530.3,46691225
2014-03-10,5503.85,5564.3,5469.4,5552.85,5552.85,55732956
2014-03-11,5540.65,5595.55,5505.8,5516.95,5516.95,35682933
2014-03-12,5496.15,5518.85,5460,5482.4,5482.4,36086290
2014-03-13,5520.3,5568.55,5488.6,5509.35,5509.35,28751401
2014-03-14,5475.35,5569.15,5468.8,5555.6,5555.6,20029597
2014-03-18,5620.1,5660.95,5531.5,5549.45,5549.45,30692418
2014-03-19,5581.7,5584.8,5531.8,5540.85,5540.85,28399508
2014-03-20,5535.05,5551.25,5482.65,5493.65,5493.65,23833013
2014-03-21,5516.05,5551.55,5512,5542.4,5542.4,38975511
2014-03-22,5553.6,5563.2,5546.05,5557.2,5557.2,2936905
2014-03-24,5576.05,5632.7,5576.05,5616.3,5616.3,43362525
2014-03-25,5612.7,5654.8,5599.85,5644.6,5644.6,67972779
2014-03-26,5682.8,5725.25,5682,5694.35,5694.35,95788937
2014-03-27,5705.3,5763.6,5695.4,5719.55,5719.55,99253447
2014-03-28,5757.1,5763.55,5720.25,5738.8,5738.8,35176177
2014-03-31,5771.4,5828.65,5742.9,5803.2,5803.2,37832309
2014-04-01,5838.55,5841.05,5775.75,5813.15,5813.15,27349380
2014-04-02,5854.05,5896.15,5821.7,5879.05,5879.05,33107968
2014-04-03,5904.35,5905.65,5826.95,5869,5869,42889952
2014-04-04,5883.1,5883.1,5804.15,5811.05,5811.05,19627932
2014-04-07,5804,5853.75,5788.85,5824.2,5824.2,24799897
2014-04-09,5854.1,5940.85,5842.3,5927.8,5927.8,39676093
2014-04-10,5936.75,5977.95,5936.75,5956.05,5956.05,28090395
2014-04-11,5929.85,5956.85,5875.95,5887.6,5887.6,29028149
2014-04-15,5886.15,5901.75,5763.6,5822.7,5822.7,24807492
2014-04-16,5813.45,5863.5,5771.35,5784.5,5784.5,22058606
2014-04-17,5809.95,5920.75,5809.3,5915.3,5915.3,39369631
2014-04-21,5899.2,6011.25,5899.2,5998,5998,26814277
2014-04-22,6001.15,6032.5,5951.7,5965.2,5965.2,22171076
2014-04-23,5975.25,6007.2,5955.25,5979.2,5979.2,29381702
2014-04-25,5990.8,6017.3,5946.45,5961.4,5961.4,31297744
2014-04-28,5954.4,5960.55,5900.65,5907.55,5907.55,18117483
2014-04-29,5914.6,5931.35,5838.6,5844.25,5844.25,16194694
2014-04-30,5868.95,5909,5797.65,5866.5,5866.5,33725953
2014-05-02,5866.55,5876.15,5833.85,5849.05,5849.05,18618710
2014-05-05,5817.8,5882.4,5816.75,5862.4,5862.4,18754486
2014-05-06,5867.5,5890.15,5866.15,5876.8,5876.8,17072514
2014-05-07,5874.55,5890.6,5829.35,5838.35,5838.35,19995663
2014-05-08,5862.2,5886.2,5848.8,5875.9,5875.9,21631655
2014-05-09,5880.1,6028.2,5863.6,6011.2,6011.2,39651445
2014-05-12,6012.5,6192.75,6012.5,6180.05,6180.05,54787344
2014-05-13,6226.65,6314.35,6195.9,6218.25,6218.25,33188815
2014-05-14,6206.2,6234.9,6164.8,6213.2,6213.2,28359258
2014-05-15,6222.25,6260.35,6179.35,6192.55,6192.55,40286841
2014-05-16,6305.05,6579.65,6229,6246.2,6246.2,51467471
2014-05-19,6338.85,6367.1,6235.2,6251.2,6251.2,37237777
2014-05-20,6264.6,6315.2,6215.85,6265.4,6265.4,33998761
2014-05-21,6278,6337.4,6257.2,6323.9,6323.9,56855559
2014-05-22,6377.25,6444.15,6311.3,6333.45,6333.45,48658068
2014-05-23,6349.15,6448,6343.1,6433.65,6433.65,115393278
2014-05-26,6505.75,6626.25,6441.25,6502,6502,77701555
2014-05-27,6530.45,6530.45,6394.4,6435.65,6435.65,42335887
2014-05-28,6438.05,6442.35,6354.35,6374.75,6374.75,37261574
2014-05-29,6361.85,6419.95,6343.3,6375.25,6375.25,49656872
2014-05-30,6340.2,6424.35,6303.6,6385.1,6385.1,39576006
2014-06-02,6391.1,6494.9,6373,6470.55,6470.55,27367268
2014-06-03,6475.8,6525.9,6454.8,6509.3,6509.3,41755348
2014-06-04,6534.35,6611.3,6526.5,6558.35,6558.35,36532868
2014-06-05,6576.8,6638.35,6515.25,6618.25,6618.25,41726294
2014-06-06,6651.1,6735.7,6615.75,6724.9,6724.9,47980257
2014-06-09,6754.75,6856.7,6746.2,6832.65,6832.65,44624803
2014-06-10,6864.2,6868.1,6743.65,6835.8,6835.8,32829153
2014-06-11,6820.65,6856.25,6738.5,6807.35,6807.35,50271595
2014-06-12,6778.6,6865.7,6763.55,6858.8,6858.8,50390454
2014-06-13,6869.6,6907.15,6725.75,6738.6,6738.6,57240822
2014-06-16,6719.9,6723.85,6645.4,6668.7,6668.7,33167854
2014-06-17,6678.2,6715.55,6611.1,6703.85,6703.85,26103866
2014-06-18,6741.3,6742.2,6606.3,6643.2,6643.2,38051256
2014-06-19,6680.4,6704.15,6633.45,6658.9,6658.9,28146877
2014-06-20,6668.5,6682.1,6577.6,6604.15,6604.15,51414927
2014-06-23,6615.65,6671.75,6601.15,6651.9,6651.9,37830797
2014-06-24,6657.9,6755.75,6657.9,6727.2,6727.2,75025103
2014-06-25,6726.95,6839.5,6725.8,6791.7,6791.7,89077706
2014-06-26,6836.75,6849.25,6774.55,6796.3,6796.3,76521226
2014-06-27,6796.05,6798.1,6739.25,6750.4,6750.4,41869566
2014-06-30,6759.1,6791.2,6752.2,6775.15,6775.15,32593191
2014-07-01,6793.6,7004.2,6793.6,6989.2,6989.2,36820266
2014-07-02,7019.4,7114.4,6989.1,7100.4,7100.4,46519893
2014-07-03,7089.65,7179.05,7069.3,7149.3,7149.3,51413602
2014-07-04,7159.9,7174.35,7100.55,7153.2,7153.2,30934452
2014-07-07,7194.7,7215.8,7166.15,7201.85,7201.85,34746570
2014-07-08,7232.2,7232.2,6997.2,7034.5,7034.5,37951656
2014-07-09,7036.85,7036.85,6792.25,6852,6852,41220690
2014-07-10,6854.65,7022.3,6754.95,6796.5,6796.5,59257688
2014-07-11,6803.9,6856.1,6706.5,6722.5,6722.5,39718193
2014-07-14,6701.6,6799.25,6701.6,6782.25,6782.25,42838545
2014-07-15,6817.4,6890.4,6817.4,6885.25,6885.25,30663957
2014-07-16,6919.65,7002.3,6899.05,6989.5,6989.5,29015291
2014-07-17,6935.05,6992.9,6923.95,6981.6,6981.6,40819267
2014-07-18,6948.4,7003.45,6896.9,6986.7,6986.7,32785299
2014-07-21,7009.95,7035.55,6965.75,6987.7,6987.7,26492319
2014-07-22,7006.35,7048.9,6992.3,7019.4,7019.4,38590436
2014-07-23,7032.25,7050.45,6960.5,7033,7033,33221771
2014-07-24,7032.85,7046.55,6987.05,7031.8,7031.8,26155663
2014-07-25,7042.2,7042.8,6919.45,6945.1,6945.1,37730030
2014-07-28,6934.2,7015.7,6880.75,6907.85,6907.85,33616709
2014-07-30,6921.65,6968.1,6874.5,6957.7,6957.7,44427001
2014-07-31,6964.25,6977.15,6895.05,6907.15,6907.15,49394761
2014-08-01,6859.2,6955.7,6834.55,6847.15,6847.15,35873295
2014-08-04,6860.4,6947.1,6854.95,6936.65,6936.65,35627377
2014-08-05,6971.95,7080.8,6942.25,7072.35,7072.35,37036658
2014-08-06,7058.45,7073.35,7011.65,7022.7,7022.7,39494869
2014-08-07,7016.2,7045.5,6982.65,7015.9,7015.9,28978200
2014-08-08,6944.3,6944.55,6867.65,6918.65,6918.65,30556586
2014-08-11,6983.4,7102.15,6978.25,7093.3,7093.3,27105531
2014-08-12,7263.75,7263.9,7168.85,7223.7,7223.7,38421631
2014-08-13,7217.6,7252.45,7168.75,7230.9,7230.9,26745507
2014-08-14,7239.15,7279.6,7210.7,7270.65,7270.65,26433957
2014-08-18,7274.65,7396.8,7274.65,7387.8,7387.8,28053692
2014-08-19,7412.05,7583.15,7409.85,7569.8,7569.8,57870259
2014-08-20,7577.8,7591.4,7513.25,7524.4,7524.4,34904868
2014-08-21,7546.25,7592.15,7513.55,7573.5,7573.5,29314972
2014-08-22,7598.65,7624.45,7564.8,7582.15,7582.15,24283537
2014-08-25,7614.95,7627.95,7579.9,7597.5,7597.5,19138047
2014-08-26,7532.3,7613.1,7519.3,7595.65,7595.65,24215858
2014-08-27,7632.1,7686.15,7626.15,7665,7665,22003037
2014-08-28,7676.35,7722.15,7673.8,7683.6,7683.6,35443092
2014-09-01,7711.3,7806.95,7711.3,7789.35,7789.35,40335826
2014-09-02,7801.15,7838.5,7788.4,7797.5,7797.5,35029999
2014-09-03,7855.4,7883.95,7813.9,7850.85,7850.85,32497004
2014-09-04,7849.8,7873.55,7803.75,7856.15,7856.15,29208714
2014-09-05,7849.35,7889.5,7779.45,7805.6,7805.6,37658699
2014-09-08,7857.6,7871.9,7806.7,7864.6,7864.6,43710931
2014-09-09,7897.45,7916.1,7879.5,7899,7899,74039181
2014-09-10,7879.85,7924.7,7858.2,7882.65,7882.65,56121721
2014-09-11,7897.35,7947.95,7826.95,7932.25,7932.25,43540261
2014-09-12,7944.55,8014.95,7944.55,8009.8,8009.8,49701951
2014-09-15,7972.35,8006.35,7934.3,7984.65,7984.65,39683140
2014-09-16,7968.65,7978.6,7806.25,7830.7,7830.7,42721276
2014-09-17,7872.15,7919.85,7774.55,7901.15,7901.15,44959699
2014-09-18,7886.75,8136.15,7858.25,8120.35,8120.35,41346388
2014-09-19,8139.6,8169.7,8037.2,8059.3,8059.3,50468598
2014-09-22,8026.25,8175.7,8011.35,8153.5,8153.5,32074569
2014-09-23,8153.95,8165.65,7980.4,7991.1,7991.1,31155079
