Date,Open,High,Low,Close,Shares Traded,Tur11er (Rs. Cr)
2018-05-22,-0,-0,-0,     5796.65,      769477852,        22941.77
2018-05-23,-0,-0,-0,     5754.97,      782213370,        23304.94
2018-05-24,-0,-0,-0,     5765.59,      738693011,        22210.57
2018-05-25,-0,-0,-0,     5839.21,      743073123,        23415.22
2018-05-28,-0,-0,-0,     5901.64,      741963331,        22079.53
2018-05-29,-0,-0,-0,     5882.00,      735810238,        21648.37
2018-05-30,-0,-0,-0,     5876.25,      725295587,        22811.69
2018-05-31,-0,-0,-0,     5899.86,     1588107722,        50458.65
2018-06-01,-0,-0,-0,     5851.13,      893604035,        22631.78
2018-06-04,-0,-0,-0,     5800.32,      686502712,        22933.89
2018-06-05,-0,-0,-0,     5751.50,      848172975,        21383.71
2018-06-06,-0,-0,-0,     5815.84,      713882356,        19292.40
2018-06-07,-0,-0,-0,     5880.50,      775798472,        20777.61
2018-06-08,-0,-0,-0,     5897.62,      682077658,21885.9
2018-06-11,-0,-0,-0,     5906.02,      711687291,        20763.22
2018-06-12,-0,-0,-0,     5944.07,621857287,        20728.04
2018-06-13,-0,-0,-0,     5937.05,      735067262,        23244.62
2018-06-14,-0,-0,-0,     5927.33,      627299792,        20812.74
2018-06-15,-0,-0,-0,     5912.33,      815394683,        30372.39
2018-06-18,-0,-0,-0,     5895.79,      554564259,18320.8
2018-06-19,-0,-0,-0,     5838.36,      627561390,        20721.87
2018-06-20,-0,-0,-0,     5863.66,      568122597,        19168.30
2018-06-21,-0,-0,-0,     5839.22,      589781574,        20112.79
2018-06-22,-0,-0,-0,     5869.19,      645094057,        22003.16
2018-06-25,-0,-0,-0,     5830.96,648261181,        20100.19
2018-06-26,-0,-0,-0,     5826.78,      723984039,        21486.37
2018-06-27,-0,-0,-0,     5756.61,      772312012,        23667.70
2018-06-28,-0,-0,-0,     5684.47,     1216485234,        32438.22
2018-06-29,-0,-0,-0,     5768.36,      791175754,        24266.11
2018-07-02,-0,-0,-0,     5738.79,      828343229,        22300.35
2018-07-03,-0,-0,-0,     5768.95,662186116,18989.78
2018-07-04,-0,-0,-0,     5792.53,      587171482,        19706.58
2018-07-05,-0,-0,-0,     5767.51,      611520270,        21369.71
2018-07-06,-0,-0,-0,     5787.90,      712705294,        22589.73
2018-07-09,-0,-0,-0,     5851.78,      609840932,        19164.21
2018-07-10,-0,-0,-0,     5899.01,      655938622,        21946.37
2018-07-11,-0,-0,-0,     5885.65,      839390071,        25039.68
2018-07-12,-0,-0,-0,     5891.65,831718165,        24846.95
2018-07-13,-0,-0,-0,     5860.55,798121864,        23563.16
2018-07-16,-0,-0,-0,     5765.21,      800577936,        22636.10
2018-07-17,-0,-0,-0,     5841.27,      945455887,        23164.11
2018-07-18,-0,-0,-0,     5803.20,      979641112,        24147.06
2018-07-19,-0,-0,-0,     5775.41,      874126260,        23031.32
2018-07-20,-0,-0,-0,     5814.72,      781577465,        23568.94
2018-07-23,-0,-0,-0,     5866.71,      879068791,        25653.20
2018-07-24,-0,-0,-0,     5929.44,     1038769191,        27026.62
2018-07-25,-0,-0,-0,     5928.24,      907097127,        24831.85
2018-07-26,-0,-0,-0,     5952.21,     1250933558,        37104.66
2018-07-27,-0,-0,-0,     6007.02,954651841,        26826.54
2018-07-30,-0,-0,-0,     6025.82,     1015271339,        26349.34
2018-07-31,-0,-0,-0,     6047.38,      993590517,        27912.66
2018-08-01,-0,-0,-0,     6053.46,     1004057392,        27485.31
2018-08-02,-0,-0,-0,     6027.62,      829595463,        24267.62
2018-08-03,-0,-0,-0,     6086.44,      820173486,        23805.47
2018-08-06,-0,-0,-0,     6103.64,      766773261,21840.87
2018-08-07,-0,-0,-0,     6098.92,      941154923,        24244.70
2018-08-08,-0,-0,-0,     6115.99,      823543948,        22753.41
2018-08-09,-0,-0,-0,     6133.57,      967329017,        26616.93
2018-08-10,-0,-0,-0,     6108.02,      919892044,26418.43
2018-08-13,-0,-0,-0,     6069.52,      746042209,        22829.73
2018-08-14,-0,-0,-0,     6125.13,      717127238,        24885.76
2018-08-16,-0,-0,-0,     6106.61,      815028413,        27514.27
2018-08-17,-0,-0,-0,     6161.11,      786853994,        24090.65
2018-08-20,-0,-0,-0,     6203.58,      806143341,        25587.13
2018-08-21,-0,-0,-0,     6219.05,      705792781,        24735.67
2018-08-23,-0,-0,-0,     6220.96,722790189,        29621.85
2018-08-24,-0,-0,-0,     6206.36,      777507520,        26798.11
2018-08-27,-0,-0,-0,     6277.12,712047318,        23260.49
2018-08-28,-0,-0,-0,     6287.61,      798246219,        24924.02
2018-08-29,-0,-0,-0,     6292.32,924118450,        28225.26
2018-08-30,-0,-0,-0,     6295.40,     1017087615,        33002.92
2018-08-31,-0,-0,-0,     6310.15,     1045540597,        35483.01
2018-09-03,-0,-0,-0,     6274.02,      832784928,        28572.10
2018-09-04,-0,-0,-0,     6175.00,      862062747,        28997.97
2018-09-05,-0,-0,-0,     6144.22,      975821672,        29466.80
2018-09-06,-0,-0,-0,     6171.96,      820077788,        28367.53
2018-09-07,-0,-0,-0,     6220.60,      839420950,        30034.63
2018-09-10,-0,-0,-0,     6131.64,      790526639,        27968.14
2018-09-11,-0,-0,-0,     6051.38,      832722735,        30212.41
2018-09-12,-0,-0,-0,     6078.64,      842937991,        27560.74
2018-09-14,-0,-0,-0,     6165.61,      727766890,        27568.14
2018-09-17,-0,-0,-0,     6111.64,      721641079,        21931.26
2018-09-18,-0,-0,-0,     6041.14,      884657712,        25811.59
2018-09-19,-0,-0,-0,     6001.20,      835195058,        26466.76
2018-09-21,-0,-0,-0,     5914.08,1826154065,        56921.95
2018-09-24,-0,-0,-0,     5785.16,     1112023631,        36860.61
2018-09-25,-0,-0,-0,     5807.88,1292188123,        39467.88
2018-09-26,-0,-0,-0,     5815.88,     1017940041,        29941.89
2018-09-27,-0,-0,-0,     5733.12,     1116323652,        36264.26
2018-09-28,-0,-0,-0,     5667.51,     1223835322,        37289.14
2018-10-01,-0,-0,-0,     5692.56,     1042356460,        32527.21
2018-10-03,-0,-0,-0,     5624.77,1045124187,        33855.67
2018-10-04,-0,-0,-0,     5504.09,     1029154995,        35092.21
2018-10-05,-0,-0,-0,     5359.92,     1215938297,        35578.39
2018-10-08,-0,-0,-0,     5317.83,1118378714,        33892.47
2018-10-09,-0,-0,-0,     5295.58,1021891196,        29374.12
2018-10-10,-0,-0,-0,     5442.00,     1036047226,        32236.59
2018-10-11,-0,-0,-0,     5327.38,     1089217534,        33678.61
2018-10-12,-0,-0,-0,     5457.55,      935110283,        29148.87
2018-10-15,-0,-0,-0,     5491.78,725867188,        22856.11
2018-10-16,-0,-0,-0,     5553.46,775351186,        25617.29
2018-10-17,-0,-0,-0,     5460.50,      842788787,        28102.53
2018-10-19,-0,-0,-0,     5385.15,      956833769,        32802.78
2018-10-22,-0,-0,-0,     5335.53,      774679828,        26983.45
2018-10-23,-0,-0,-0,     5283.08,      773203487,        28319.15
2018-10-24,-0,-0,-0,     5332.03,      829544143,        29707.10
2018-10-25,-0,-0,-0,     5289.61,     1267205134,        36650.78
2018-10-26,-0,-0,-0,     5265.45,      932264496,        26228.90
2018-10-29,-0,-0,-0,     5394.96,     1000573716,        28839.80
2018-10-30,-0,-0,-0,     5405.01,      973787086,        26870.58
2018-10-31,-0,-0,-0,     5501.76,     1007998149,        34876.28
2018-11-01,-0,-0,-0,     5524.30,      995466239,        31721.54
2018-11-02,-0,-0,-0,     5583.60,     1225103507,        35921.91
2018-11-05,-0,-0,-0,     5566.89,      901649014,        24949.86
2018-11-06,-0,-0,-0,5554.18,      772234913,        23478.72
2018-11-07,-0,-0,-0,     5595.77,      102491655,         2910.68
2018-11-09,-0,-0,-0,     5621.31,      801059777,        24939.26
2018-11-12,-0,-0,-0,     5568.57,      711608051,        22299.90
2018-11-13,-0,-0,-0,     5599.98,      729093815,        22044.06
2018-11-14,-0,-0,-0,     5602.16,      999732216,        30873.53
2018-11-15,-0,-0,-0,     5626.39,      807152956,        24599.77
2018-11-16,-0,-0,-0,     5640.27,      925098826,        27245.53
2018-11-19,-0,-0,-0,     5672.09,      754712959,        22303.82
2018-11-20,-0,-0,-0,     5617.08,      785752114,        22212.59
2018-11-21,-0,-0,-0,     5616.87,      769201774,        24070.17
2018-11-22,-0,-0,-0,     5574.93,      682835452,        19909.12
2018-11-26,-0,-0,-0,     5607.90,      784923120,        24801.09
2018-11-27,-0,-0,-0,     5635.14,      804896392,        26203.80
2018-11-28,-0,-0,-0,     5622.84,      938630354,        27422.14
2018-11-29,-0,-0,-0,     5668.94,     1344759516,        38475.45
2018-11-30,-0,-0,-0,     5693.50,     1177887589,        35394.77
2018-12-03,-0,-0,-0,5712.18,      972165494,        29249.43
2018-12-04,-0,-0,-0,     5706.50,      767577428,24829.18
2018-12-05,-0,-0,-0,     5647.37,      804065664,        24831.85
2018-12-06,-0,-0,-0,     5557.79,      854468354,        26379.08
2018-12-07,-0,-0,-0,     5579.83,      815284008,        27899.83
2018-12-10,-0,-0,-0,     5471.52,      822555434,        24335.49
2018-12-11,-0,-0,-0,     5532.22,      934319411,        29244.22
2018-12-12,-0,-0,-0,     5652.88,      885752083,        27672.06
2018-12-13,-0,-0,-0,     5691.82,      906658668,        28309.33
2018-12-14,-0,-0,-0,     5700.56,      908196957,        24786.39
2018-12-17,-0,-0,-0,     5733.22,      669771314,        20586.65
2018-12-18,-0,-0,-0,     5747.00,      749740630,        22555.42
2018-12-19,-0,-0,-0,     5799.49,      922945063,        29681.14
2018-12-20,-0,-0,-0,     5795.81,      829783371,        24921.94
2018-12-21,-0,-0,-0,     5704.66,      946306126,        29934.57
2018-12-24,-0,-0,-0,     5660.02,      673808992,        19898.55
2018-12-26,-0,-0,-0,     5672.62,      746681778,        22987.14
2018-12-27,-0,-0,-0,     5696.51,     1121092466,        30677.87
2018-12-28,-0,-0,-0,     5745.83,      695280707,        21610.79
2018-12-31,-0,-0,-0,     5763.86,      543278975,18063.02
